source,target,type,relationship
MS1.5,http://www.dil.ie/21911,directed,word
MS1.5,http://www.dil.ie/33484,directed,word
MS1.5,http://www.dil.ie/31166,directed,word
MS1.5,http://www.dil.ie/31166,directed,word
MS1.5,http://www.dil.ie/17098,directed,word
MS1.5,http://www.dil.ie/17216,directed,word
MS1.5,http://www.dil.ie/12189,directed,word
MS1.5,http://www.dil.ie/31166,directed,word
MS1.5,http://www.dil.ie/41302,directed,word
MS1.5,http://www.dil.ie/9365,directed,word
MS1.5,http://www.dil.ie/17098,directed,word
MS1.5,http://www.dil.ie/17216,directed,word
MS1.5,http://www.dil.ie/33484,directed,word
MS1.5,http://www.dil.ie/17096,directed,word
MS1.5,http://www.dil.ie/33484,directed,word
MS1.5,http://www.dil.ie/17096,directed,word
MS1.5,http://www.dil.ie/12189,directed,word
MS1.5,http://www.dil.ie/28194,directed,word
MS1.5,http://www.dil.ie/32548,directed,word
MS1.5,http://www.dil.ie/26891,directed,word
MS1.5,http://www.dil.ie/8622,directed,word
MS1.5,http://www.dil.ie/28194,directed,word
MS1.5,http://www.dil.ie/29104,directed,word
MS1.5,http://www.dil.ie/33131,directed,word
MS1.5,http://www.dil.ie/33364,directed,word
MS1.5,http://www.dil.ie/9786,directed,word
MS1.5,http://www.dil.ie/20789,directed,word
MS1.5,http://www.dil.ie/37917,directed,word
MS1.5,http://www.dil.ie/33484,directed,word
MS1.5,http://www.dil.ie/186,directed,word
MS1.5,http://www.dil.ie/26891,directed,word
MS1.5,http://www.dil.ie/36041,directed,word
MS1.5,http://www.dil.ie/33364,directed,word
MS1.5,http://www.dil.ie/41302,directed,word
MS1.5,http://www.dil.ie/9786,directed,word
MS1.5,http://www.dil.ie/6579,directed,word
MS1.5,http://www.dil.ie/33484,directed,word
MS1.5,http://www.dil.ie/3,directed,word
MS1.5,http://www.dil.ie/5661,directed,word
MS1.5,http://www.dil.ie/3902,directed,word
MS1.5,http://www.dil.ie/7528,directed,word
MS1.5,http://www.dil.ie/33512,directed,word
MS1.5,http://www.dil.ie/10713,directed,word
MS1.5,http://www.dil.ie/3902,directed,word
MS1.5,http://www.dil.ie/3,directed,word
MS1.5,http://www.dil.ie/19846,directed,word
MS1.5,http://www.dil.ie/9786,directed,word
MS1.5,http://www.dil.ie/6579,directed,word
MS1.5,http://www.dil.ie/33484,directed,word
MS1.5,http://www.dil.ie/3,directed,word
MS1.5,http://www.dil.ie/31485,directed,word
MS1.5,http://www.dil.ie/3902,directed,word
MS1.5,http://www.dil.ie/7528,directed,word
MS1.5,http://www.dil.ie/33512,directed,word
MS1.5,http://www.dil.ie/17788,directed,word
MS1.5,http://www.dil.ie/24329,directed,word
MS1.6,http://www.dil.ie/35364,directed,word
MS1.6,http://www.dil.ie/5172,directed,word
MS1.6,http://www.dil.ie/32580,directed,word
MS1.6,http://www.dil.ie/33484,directed,word
MS1.6,http://www.dil.ie/28651,directed,word
MS1.6,http://www.dil.ie/3,directed,word
MS1.6,http://www.dil.ie/5644,directed,word
MS1.6,http://www.dil.ie/34490,directed,word
MS1.6,http://www.dil.ie/33484,directed,word
MS1.6,http://www.dil.ie/31166,directed,word
MS1.6,http://www.dil.ie/41302,directed,word
MS1.6,http://www.dil.ie/9365,directed,word
MS1.6,http://www.dil.ie/28194,directed,word
MS1.6,http://www.dil.ie/42968,directed,word
MS1.6,http://www.dil.ie/27181,directed,word
MS1.6,http://www.dil.ie/24329,directed,word
